CID,CID number,Coding Scheme Designator,Code Value,Code Meaning,SNOMED-RT ID,SNOMED URL
CID 8 Angiographic Interventional Devices,8,SCT,65818007,Stent,A-25500,http://snomed.info/id/65818007
CID 8 Angiographic Interventional Devices,8,SCT,19923001,Catheter,A-26800,http://snomed.info/id/19923001
CID 13 Radiographic Contrast Agent Ingredient,13,SCT,44588005,Iodine,C-11400,http://snomed.info/id/44588005
CID 13 Radiographic Contrast Agent Ingredient,13,SCT,58281002,Gadolinium,C-17800,http://snomed.info/id/58281002
CID 13 Radiographic Contrast Agent Ingredient,13,SCT,31811003,Carbon Dioxide,C-10520,http://snomed.info/id/31811003
CID 8 Angiographic Interventional Devices,8,SCT,38586004,Laser,A-81080,http://snomed.info/id/38586004
CID 8 Angiographic Interventional Devices,8,SCT,57126000,Glue,C-20005,http://snomed.info/id/57126000
CID 8 Angiographic Interventional Devices,8,SCT,102312002,Atherectomy device,A-25600,http://snomed.info/id/102312002
CID 8 Angiographic Interventional Devices,8,SCT,102315000,Embolization ball,A-25614,http://snomed.info/id/102315000
CID 8 Angiographic Interventional Devices,8,SCT,102319006,Percutaneous transluminal angioplasty balloon,A-26912,http://snomed.info/id/102319006
CID 8 Angiographic Interventional Devices,8,SCT,102314001,Embolization coil,A-25612,http://snomed.info/id/102314001
CID 13 Radiographic Contrast Agent Ingredient,13,SCT,39290007,Barium,C-12200,http://snomed.info/id/39290007
CID 13 Radiographic Contrast Agent Ingredient,13,SCT,83598005,Xenon,C-17200,http://snomed.info/id/83598005
CID 13 Radiographic Contrast Agent Ingredient,13,SCT,15158005,Air,A-80230,http://snomed.info/id/15158005
CID 13 Radiographic Contrast Agent Ingredient,13,SCT,24099007,Oxygen,C-10110,http://snomed.info/id/24099007
CID 13 Radiographic Contrast Agent Ingredient,13,SCT,11713004,Water,C-10120,http://snomed.info/id/11713004
CID 8 Angiographic Interventional Devices,8,SCT,102314001,Gianturco coil,A-25612,http://snomed.info/id/102314001
CID 8 Angiographic Interventional Devices,8,SCT,102320000,Detachable balloon,A-27322,http://snomed.info/id/102320000
CID 8 Angiographic Interventional Devices,8,SCT,102317008,Guiding catheter,A-26802,http://snomed.info/id/102317008
CID 8 Angiographic Interventional Devices,8,SCT,102316004,Embolization particulate,A-25616,http://snomed.info/id/102316004
CID 8 Angiographic Interventional Devices,8,SCT,102313007,Rotational atherectomy device,A-25610,http://snomed.info/id/102313007
CID 13 Radiographic Contrast Agent Ingredient,13,SCT,3829006,Iron,C-13000,http://snomed.info/id/3829006
CID 8 Angiographic Interventional Devices,8,SCT,102304005,Measuring ruler,A-10141,http://snomed.info/id/102304005
CID 8 Angiographic Interventional Devices,8,DCM,122485,Sphere,,
CID 7 Ultrasound Beam Path,7,SCT,103381007,Trans-hepatic,G-D027,http://snomed.info/id/103381007
CID 7 Ultrasound Beam Path,7,SCT,103353001,Trans-gastric,G-A1B2,http://snomed.info/id/103353001
CID 7 Ultrasound Beam Path,7,SCT,103348006,Trans-pleural,G-A1A5,http://snomed.info/id/103348006
CID 7 Ultrasound Beam Path,7,SCT,103354007,Trans-mural,G-A1B3,http://snomed.info/id/103354007
CID 7 Ultrasound Beam Path,7,SCT,129226004,Trans-orbital,G-D065,http://snomed.info/id/129226004
CID 7 Ultrasound Beam Path,7,SCT,103349003,Trans-pancreatic,G-A1A6,http://snomed.info/id/103349003
CID 7 Ultrasound Beam Path,7,SCT,6706003,Trans-rectal,G-D028,http://snomed.info/id/6706003
CID 7 Ultrasound Beam Path,7,SCT,103347001,Trans-renal,G-A1A4,http://snomed.info/id/103347001
CID 7 Ultrasound Beam Path,7,SCT,103382000,Trans-temporal,G-D032,http://snomed.info/id/103382000
CID 7 Ultrasound Beam Path,7,SCT,103345009,Trans-thecal,G-A1A2,http://snomed.info/id/103345009
CID 7 Ultrasound Beam Path,7,SCT,57257006,Trans-urethral,G-D003,http://snomed.info/id/57257006
CID 7 Ultrasound Beam Path,7,SCT,103344008,Trans-vesical,G-A1A1,http://snomed.info/id/103344008
CID 7 Ultrasound Beam Path,7,SCT,103346005,Trans-splenic,G-A1A3,http://snomed.info/id/103346005
