SCT,SRT,SNOMED Fully Specified Name
111002,T-B7000,Parathyroid structure (body structure)
125001,C-B1123,Ferrous sulfate Fe^59^ (substance)
187006,C-B1021,Cyanocobalamin Co^57^ (substance)
270002,S-101A9,Female first cousin (person)
271003,A-12010,"Bone plate, device (physical object)"
283001,T-C4730,Structure of central axillary lymph node (body structure)
300004,L-80861,Miniature schnauzer (organism)
315003,T-02483,Skin structure of umbilicus (body structure)
345000,T-32830,Atrioventricular bundle structure (body structure)
368009,D3-10800,Heart valve disorder (disorder)
400003,L-80156,Pinzgauer cattle breed (organism)
432003,C-22972,Carminic acid stain (substance)
439007,C-B1010,Therapeutic radioisotope (product)
461002,T-A7093,Structure of lateral corticospinal tract (body structure)
485005,T-59440,Transverse colon structure (body structure)
507002,L-80833,Standard poodle (organism)
524008,G-A443,Multifocal (qualifier value)
583000,L-80902,Wirehaired vizsla (organism)
589001,T-32410,Interventricular septum structure (body structure)
606003,L-80703,Terrier (organism)
661005,T-D1213,Jaw region structure (body structure)
684003,L-80213,Pygmy goat (organism)
739006,A-17230,"Bicycle ergometer, device (physical object)"
774007,T-D1000,Head and neck structure (body structure)
795002,G-A140,Deep (qualifier value)
796001,C-80330,Digoxin (product)
873008,C-29020,Urethan (substance)
925002,C-B0325,Sodium iodipamide (substance)
944009,L-80175,Brown Welsh cattle breed (organism)
955009,T-26000,Bronchial structure (body structure)
976004,T-48780,Structure of ovarian vein (body structure)
1006005,L-80438,Percheron horse (organism)
1101003,T-D1400,Cranial cavity structure (body structure)
1118004,L-80462,Viking horse (organism)
1166006,C-16600,Titanium (substance)
1182007,C-81100,Hypotensive agent (product)
1193009,T-13640,Structure of teres major muscle (body structure)
1194003,P0-30450,"Disease condition determination, well controlled (finding)"
1211003,A-17222,"Treadmill, device (physical object)"
1231004,T-A1110,Meninges structure (body structure)
1240000,F-10310,Prone body position (finding)
1247002,L-80419,Clydesdale horse (organism)
1250004,G-A316,Decreased (qualifier value)
1307006,T-24440,Glottis structure (body structure)
1312007,G-A371,Guttate (qualifier value)
